Don Henderson,"Upperline Healthplan, PC/TN","Upperline Healthplan, PC/TN","Upperline Healthplan, PC/GA","Advanced Foot plan, LLP.",Village Podiatry Group
MHS (Memorial Health System),,N/A,Effective 01/01/24 (Non Eggbert Contract),NON-PAR,NON-PAR
Multiplan/PHCS/Beech Street - GA,N/A,N/A,Effective 12/10/2022,PAR,PAR
NovaNet - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,NON-PAR
Oscar Health Plan - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR (Oscar + Cigna only)
Peach State Health Plan Mediplan - GA,N/A,N/A,Effective 12/10/2022,PAR,PAR
Peach State Health Plan Medicaid - GA,N/A,N/A,Effective 12/10/2022,PAR,PAR
Pruitt Health - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR
Sonder (MA) - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR
Tennplan,Par,N/A,N/A,PAR,NON-PAR
Triplan- Certified ONLY,Effective 10/12/21,N/A,NON-PAR,PAR,PAR
UHC - TN,N/A,N/A,Effective 12/10/2022,PAR,PAR
UHC - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,PAR
UHC - GA (Exchange Plans),Non-par,N/A,NON-PAR,NON-PAR,NON-PAR
UHC of the River Valley,,N/A,Effective 12/10/2022,PAR,NON-PAR
UHC COMMUNITY PLAN FOR TN,NA,N/A,N/A,PAR,NON-PAR
USA Managed plan - GA,N/A,N/A,Effective 12/10/2022,NON-PAR,NON-PAR
VA Optum GA,N/A,N/A,Effective 12/10/2022,PAR,PAR
Wellplan,Panel Closed,N/A,Effective 12/10/2022,PAR,PAR
Wellplan Mediplan Georgia,N/A,N/A,Effective 12/10/2022,PAR,PAR
,,,,,
Locations,,,Hospital/Sx Centers,,
"1720 Gunbarrel Road Suite 204  Chattanooga, TN 37421",,,Memorial Hospital (Chattanooga),,
"5617 TN - 153 Suite # 102  Hixson, TN 37343",,,Parkridge Medical Center (Chattanooga),,
"1505 Professional Ct. Dalton, GA 30720",,,Erlanger Medical Center,,
"52 Mouse Creek Rd. NW, Cleveland, TN 37312",,,,,
"4308 Brainerd Rd., Chattanooga, TN 37422",,,,,
"2368 Battlefield Pkwy, Fort Oglethorpe, GA 30742",,,,,
